plec;m.zamieszkania;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;uwagi;kierunek;rok;miejsce;uwagi.x
Kobieta;Kwidzyn;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Bardzo Źle;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Źle;Nie mam zdania/Nie wiem ;Bardzo Źle;Nie mam zdania/Nie wiem ;Źle;Jedności wypowiedzi. Jedna osoba mówi jedno druga co innego - dziennik kształce;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Kwidzyn ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Kwidzyn;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Źle;Nie mam zdania/Nie wiem ;;Źle;Źle;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Źle;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Mężczyzna;Grudziądz ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Toruń;Dobrze;Dobrze;Dobrze;Źle;Źle;Dobrze;Nie mam zdania/Nie wiem ;Źle;Bardzo Źle;Nie mam zdania/Nie wiem ;Źle;Źle;Źle;Dobrze;Dobrze;Dobrze;Źle;Dobrze;Źle;Źle;Źle;;Źle;Źle;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Iława;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Mężczyzna;Grudziądz;Dobrze;Dobrze;Dobrze;Źle;Źle;Dobrze;Nie mam zdania/Nie wiem ;Źle;Źle;Nie mam zdania/Nie wiem ;Dobrze;Źle;Dobrze;Bardzo Dobrze;Bardzo Źle;Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;nic;Dobrze;Dobrze;nie wiem;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;brak uwag;PO;1;KWI;
Kobieta;Starogard Gdański ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Źle;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Starogard gdanki;Dobrze;Dobrze;Dobrze;Źle;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Bardzo Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Rokitki gmina Tczew;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Mężczyzna;Mokre;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Starogard Gdański ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Źle;Źle;Źle;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Olsztyn;Dobrze;Dobrze;Dobrze;Dobrze;Źle;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Kwidzyn;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Źle;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Kurzętnik;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;RYJEWO;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;JEST OK;Bardzo Dobrze;Bardzo Dobrze;JEST OK;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Mężczyzna;Krąg;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;PO;1;KWI;
Mężczyzna;Linowo 40/2  12-120 Dźwierzuty;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Lubichowo;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Źle;Dobrze;Dobrze;Nie;Tak;;PO;1;KWI;
Mężczyzna;Kwidzyn;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Źle;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;;Dobrze;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Malbork ;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Źle;Dobrze;Źle;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nic nie brakuje ;Dobrze;Dobrze;Wszystko jest ok ;Dobrze;Dobrze;Dobrze;Źle;Źle;Źle;Dobrze;Dobrze;Dobrze;Nie;Nie;Uwag brak;PO;1;KWI;
Kobieta;Kurzętnik;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zastrzeżeń. Panie bardzo miłe i pomocne;Bardzo Dobrze;Bardzo Dobrze;;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;Dostosowanie planu zajec i praktyk do osób pracujących w tygodniu. Ciężko zorganizować tyle dni urlopu.;PO;1;KWI;
Kobieta;Kurzętnik;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;-;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;-;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Tak;-;PO;1;KWI;
Kobieta;Brodnica (gmina Brodnica);Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Starogard Gdański ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Wszystko jest dobrze;Dobrze;Dobrze;Wszystko jest dobrze ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Tak;Nie;;PO;1;KWI;
Kobieta;Grudziadz ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
